Designator,Mid X,Mid Y,Rotation,Layer,
BOOTSEL,135.5875,-40.595,180,top,
C1,144.02,-45.375,90,top,
C2,153.34,-70.085,-90,top,
C3,155.1,-70.105,-90,top,
C4,142.93,-56.645,90,top,
C5,141.12,-56.64,90,top,
C6,149.14,-52.675,90,top,
C7,147.41,-52.695,90,top,
C8,161.24,-54.06,90,top,
C9,159.24,-54.06,90,top,
C10,163.11,-54.08,90,top,
C11,154.98,-54.055,90,top,
C12,156.78,-53.995,90,top,
C13,155.47,-47.195,-90,top,
C14,147.5075,-70.945,90,top,
C15,140.9525,-71.115,-90,top,
C16,132.63,-55.54,180,top,
C17,128.88,-66.38,-90,top,
D1,126.14,-63.35,0,top,
J1,117.66,-38.8,0,top,
J2,178.3,-82.04,180,top,
R1,130.0875,-46.095,-90,top,
R2,132.0875,-46.095,-90,top,
R3,151.22,-53.81,-90,top,
R4,152.895,-53.81,-90,top,
R5,149.2875,-70.105,90,top,
R6,125.37,-60.815,90,top,
RESET,161.47,-47.92,180,top,
SWD,PinHeader_1x03_P2.54mm_Vertical,150.005,-77.34,90,top
U1,138,-49.5,0,top,
U2,150.585,-62.02,0,top,
U3,151.4075,-43.65,180,top,
U4,132.21,-60.79,180,top,
USB,151.055,-37.305,180,top,
X1,144.3025,-70.99,-90,top,
