Ref,Val,Package,PosX,PosY,Rot,Side
"BOOTSEL","BOOTSEL","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",135.587500,-40.595000,180.000000,top
"C1","100n","C_0603_1608Metric",144.020000,-45.375000,90.000000,top
"C2","100n","C_0603_1608Metric",153.340000,-70.085000,-90.000000,top
"C3","100n","C_0603_1608Metric",155.100000,-70.105000,-90.000000,top
"C4","100n","C_0603_1608Metric",142.930000,-56.645000,90.000000,top
"C5","100n","C_0603_1608Metric",141.120000,-56.640000,90.000000,top
"C6","100n","C_0603_1608Metric",149.140000,-52.675000,90.000000,top
"C7","100n","C_0603_1608Metric",147.410000,-52.695000,90.000000,top
"C8","100n","C_0603_1608Metric",161.240000,-54.060000,90.000000,top
"C9","100n","C_0603_1608Metric",159.240000,-54.060000,90.000000,top
"C10","100n","C_0603_1608Metric",163.110000,-54.080000,90.000000,top
"C11","1u","C_0603_1608Metric",154.980000,-54.055000,90.000000,top
"C12","1u","C_0603_1608Metric",156.780000,-53.995000,90.000000,top
"C13","100n","C_0603_1608Metric",155.470000,-47.195000,-90.000000,top
"C14","10p","C_0603_1608Metric",147.507500,-70.945000,90.000000,top
"C15","10p","C_0603_1608Metric",140.952500,-71.115000,-90.000000,top
"C16","10u","C_0805_2012Metric",132.630000,-55.540000,180.000000,top
"C17","10u","C_0805_2012Metric",128.880000,-66.380000,-90.000000,top
"D1","GREEN","C_0603_1608Metric",126.140000,-63.350000,0.000000,top
"J1","Conn_02x18_Odd_Even","PinHeader_2x18_P2.54mm_Vertical",117.660000,-38.800000,0.000000,top
"J2","Conn_02x18_Odd_Even","PinHeader_2x18_P2.54mm_Vertical",178.300000,-82.040000,180.000000,top
"R1","1K","R_0603_1608Metric",130.087500,-46.095000,-90.000000,top
"R2","DNF","R_0603_1608Metric",132.087500,-46.095000,-90.000000,top
"R3","27R","R_0603_1608Metric",151.220000,-53.810000,-90.000000,top
"R4","27R","R_0603_1608Metric",152.895000,-53.810000,-90.000000,top
"R5","1K","R_0603_1608Metric",149.287500,-70.105000,90.000000,top
"R6","1K5","R_0603_1608Metric",125.370000,-60.815000,90.000000,top
"RESET","RESET","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",161.470000,-47.920000,180.000000,top
"SWD","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",150.005000,-77.340000,90.000000,top
"U1","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",138.000000,-49.500000,0.000000,top
"U2","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",150.585000,-62.020000,0.000000,top
"U3","USBLC6-2SC6","SOT-23-6",151.407500,-43.650000,180.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",132.210000,-60.790000,180.000000,top
"USB","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",151.055000,-37.305000,180.000000,top
"X1","12MHz","XTAL_ABM8-272-T3",144.302500,-70.990000,-90.000000,top
